in_file,out_file,in_size,out_size,converted_time,cpu,memory,read_speed,write_speed,,,
W-RB60_D27PrTzF_OE_S1_L001_R2.fastq,W-RB60_D27PrTzF_OE_S1_L001_R2.omg-yaml,31972175998,9262757969,451.6064556,3490.2,59.18489583,0,2.599702501,,29.77640927,8.6266156
W-RB60_D27PrTzF_OE_S1_L001_R2.fastq,W-RB60_D27PrTzF_OE_S1_L001_R2.omg-binary,31972175998,6950460692,451.4155024,3509.775,61.04394531,0,1.964576324,,29.77640927,6.473120946
W-RB64_D27PrTzF_Edn_S1_L001_R1.fastq,W-RB64_D27PrTzF_Edn_S1_L001_R1.omg-json,18914623886,3504979085,357.8315987,3461.1875,60.08276367,1.698719294,1.257917377,,17.61561622,3.264266145
W-RB64_D27PrTzF_Edn_S1_L001_R1.fastq,W-RB64_D27PrTzF_Edn_S1_L001_R1.omg-yaml,18914623886,3491067801,348.8309283,3563.726667,56.11145833,0,1.287688502,,17.61561622,3.251310253
W-RB64_D27PrTzF_Edn_S1_L001_R1.fastq,W-RB64_D27PrTzF_Edn_S1_L001_R1.omg-binary,18914623886,2621558817,336.9814825,3734.830769,50.71664663,0,1.003237089,,17.61561622,2.441516907
W-RB64_D27PrTzF_Edn_S1_L001_R2.fastq,W-RB64_D27PrTzF_Edn_S1_L001_R2.omg-json,29515621646,8571036129,420.321516,,,,,,27.48856474,7.982399435
W-RB64_D27PrTzF_Edn_S1_L001_R2.fastq,W-RB64_D27PrTzF_Edn_S1_L001_R2.omg-yaml,29515621646,8557124845,402.5658284,3721.738889,67.48459201,0,2.752673215,,27.48856474,7.969443542
W-RB64_D27PrTzF_Edn_S1_L001_R2.fastq,W-RB64_D27PrTzF_Edn_S1_L001_R2.omg-binary,29515621646,6421395328,401.2956822,3748.944444,66.23719618,0,2.055836771,,27.48856474,5.980390429
W-RB68_D27PrTzF_StPDPNn_S1_L001_R1.fastq,W-RB68_D27PrTzF_StPDPNn_S1_L001_R1.omg-json,19360677899,3574478893,346.7118685,3769.9,40.05078125,1.798312419,1.270472354,,18.03103639,3.328992886
W-RB68_D27PrTzF_StPDPNn_S1_L001_R1.fastq,W-RB68_D27PrTzF_StPDPNn_S1_L001_R1.omg-yaml,19360677899,3560239562,348.4124652,3748.96,57.98463542,0,1.305230605,,18.03103639,3.315731475
W-RB68_D27PrTzF_StPDPNn_S1_L001_R1.fastq,W-RB68_D27PrTzF_StPDPNn_S1_L001_R1.omg-binary,19360677899,2673319950,344.9339805,3747.166667,41.90885417,0,1.016189455,,18.03103639,2.489723219
W-RB68_D27PrTzF_StPDPNn_S1_L001_R2.fastq,W-RB68_D27PrTzF_StPDPNn_S1_L001_R2.omg-json,30211663883,8758458546,419.9094863,3712.784211,70.47532895,2.328628619,2.687759917,,28.13680459,8.156950163
W-RB68_D27PrTzF_StPDPNn_S1_L001_R2.fastq,W-RB68_D27PrTzF_StPDPNn_S1_L001_R2.omg-yaml,30211663883,8744219215,414.0355066,,,,,,28.13680459,8.143688752
W-RB68_D27PrTzF_StPDPNn_S1_L001_R2.fastq,W-RB68_D27PrTzF_StPDPNn_S1_L001_R2.omg-binary,30211663883,6561606603,409.71818,3726.705556,66.66840278,0,2.045027027,,28.13680459,6.110972355
W-RB6C_D27PrTzF_StPDPNp_S1_L001_R1.fastq,W-RB6C_D27PrTzF_StPDPNp_S1_L001_R1.omg-json,18045160286,3335932601,340.9713932,3766.48,51.47473958,1.696864196,1.240168567,,16.80586514,3.106829339
W-RB6C_D27PrTzF_StPDPNp_S1_L001_R1.fastq,W-RB6C_D27PrTzF_StPDPNp_S1_L001_R1.omg-yaml,18045160286,3322660856,330.6136274,3455.164286,61.375,0,1.276116546,,16.80586514,3.094469063
W-RB6C_D27PrTzF_StPDPNp_S1_L001_R1.fastq,W-RB6C_D27PrTzF_StPDPNp_S1_L001_R1.omg-binary,18045160286,2495030149,334.458863,3497.9,56.49190848,0,0.95626918,,16.80586514,2.323677902
W-RB6C_D27PrTzF_StPDPNp_S1_L001_R2.fastq,W-RB6C_D27PrTzF_StPDPNp_S1_L001_R2.omg-json,28158774366,8127366643,405.4075095,3423.6,54.80859375,2.22979895,2.521656057,,26.22490224,7.569200027
W-RB6C_D27PrTzF_StPDPNp_S1_L001_R2.fastq,W-RB6C_D27PrTzF_StPDPNp_S1_L001_R2.omg-yaml,28158774366,8114094898,395.1866998,3492.835294,72.96185662,0,2.621089615,,26.22490224,7.556839751
W-RB6C_D27PrTzF_StPDPNp_S1_L001_R2.fastq,W-RB6C_D27PrTzF_StPDPNp_S1_L001_R2.omg-binary,28158774366,6088885837,392.6358965,3507.266667,58.79752604,0,1.968956132,,26.22490224,5.670716834
